"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.20045,0.0044634,0.3441,-1.1382,-0.73327,-0.90555,0.0026945,0,0,-0.3025,0.22397,0,0.0070056,0,0,1.0271,-0.0035494,0,1.0271,-0.73325,-1.1383,-0.90555,89.619,-0.92569,0.35205,-0.00057117,0.66,0.02,0
0.19401,0.0043896,0.32352,-1.1394,-0.70847,-0.87787,0.001523,0,0,-0.33993,0.22021,0,0.0039599,0,0,1.0301,-0.0025168,0,1.0301,-0.70847,-1.1394,-0.87787,89.797,-0.90856,0.37599,-0.00098292,0.68,0.02,0
0.18685,0.0042829,0.30289,-1.1393,-0.68493,-0.85017,0.00046112,0,0,-0.37592,0.21482,0,0.0011989,0,0,1.0321,-0.0015082,0,1.0321,-0.68493,-1.1393,-0.85017,89.942,-0.89148,0.39838,-0.0014663,0.7,0.02,0
0.17898,0.0041489,0.28223,-1.1383,-0.6624,-0.82245,-0.00049601,0,0,-0.41063,0.20807,0,-0.0012896,0,0,1.0332,-0.00050976,0,1.0332,-0.6624,-1.1383,-0.82245,-89.94,-0.87439,0.41946,-0.002015,0.72,0.02,0
0.17042,0.0039935,0.26156,-1.1364,-0.64063,-0.79467,-0.0013504,0,0,-0.44424,0.20025,0,-0.0035111,0,0,1.0332,0.00049537,0,1.0332,-0.64063,-1.1364,-0.79467,-89.844,-0.85723,0.43948,-0.0026229,0.74,0.02,0
0.16121,0.0038231,0.24091,-1.1337,-0.61938,-0.76682,-0.0020933,0,0,-0.47691,0.19167,0,-0.0054426,0,0,1.0321,0.0015219,0,1.0321,-0.61938,-1.1337,-0.76682,-89.767,-0.83996,0.45872,-0.0032855,0.76,0.02,0
0.15135,0.0036444,0.22028,-1.1303,-0.59836,-0.73887,-0.0027001,0,0,-0.50884,0.18266,0,-0.0070202,0,0,1.0301,0.002577,0,1.0301,-0.59835,-1.1303,-0.73887,-89.709,-0.82251,0.47746,-0.0040009,0.78,0.02,0
0.14086,0.0034654,0.1997,-1.1264,-0.57726,-0.7108,-0.0031302,0,0,-0.54027,0.1736,0,-0.0081385,0,0,1.027,0.0036534,0,1.027,-0.57724,-1.1264,-0.7108,-89.673,-0.80482,0.49606,-0.0047709,0.8,0.02,0
0.12974,0.0032948,0.1792,-1.1222,-0.55571,-0.68257,-0.003334,0,0,-0.5715,0.16492,0,-0.0086684,0,0,1.0228,0.0047209,0,1.0228,-0.55569,-1.1222,-0.68257,-89.663,-0.78682,0.51494,-0.0056034,0.82,0.02,0
0.11799,0.0031421,0.15879,-1.1179,-0.53332,-0.65416,-0.00327,0,0,-0.60289,0.1571,0,-0.0085019,0,0,1.0176,0.005718,0,1.0176,-0.5333,-1.1179,-0.65416,-89.68,-0.76847,0.53456,-0.0065135,0.84,0.02,0
0.10562,0.0030165,0.1385,-1.1139,-0.5097,-0.62556,-0.00293,0,0,-0.63478,0.15062,0,-0.007618,0,0,1.0115,0.006548,0,1.0115,-0.50969,-1.1139,-0.62556,-89.722,-0.74971,0.55539,-0.0075236,0.86,0.02,0
0.092603,0.0029248,0.11833,-1.1102,-0.48455,-0.59676,-0.002363,0,0,-0.66749,0.14588,0,-0.0061438,0,0,1.0047,0.0070851,0,1.0047,-0.48454,-1.1102,-0.59676,-89.784,-0.73051,0.57781,-0.0086613,0.88,0.02,0
