"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.46392,0,0,0,0,0,0,0,0,0,0,0,0,0.44737,0.010942,0,0.44751,0,0,0,45,0,0,0,0.52,0.04,0
0.44614,0,0,0,0,0,0,0,0,0,0,0,0,0.44236,0.0082355,0,0.44244,0,0,0,45,0,0,0,0.54,0.04,0
0.42853,0,0,0,0,0,0,0,0,0,0,0,0,0.43887,0.0050988,0,0.4389,0,0,0,45,0,0,0,0.56,0.04,0
0.41103,0,0,0,0,0,0,0,0,0,0,0,0,0.43709,0.0017014,0,0.43709,0,0,0,45,0,0,0,0.58,0.04,0
0.39356,0,0,0,0,0,0,0,0,0,0,0,0,0.43711,-0.0017818,0,0.43711,0,0,0,45,0,0,0,0.6,0.04,0
0.37606,0,0,0,0,0,0,0,0,0,0,0,0,0.43893,-0.0051765,0,0.43896,0,0,0,45,0,0,0,0.62,0.04,0
0.35845,0,0,0,0,0,0,0,0,0,0,0,0,0.44246,-0.0083075,0,0.44254,0,0,0,45,0,0,0,0.64,0.04,0
0.34066,0,0,0,0,0,0,0,0,0,0,0,0,0.44751,-0.011005,0,0.44765,0,0,0,45,0,0,0,0.66,0.04,0
0.32265,0,0,0,0,0,0,0,0,0,0,0,0,0.45381,-0.013124,0,0.45401,0,0,0,45,0,0,0,0.68,0.04,0
0.30436,0,0,0,0,0,0,0,0,0,0,0,0,0.46102,-0.014573,0,0.46127,0,0,0,45,0,0,0,0.7,0.04,0
0.28577,0,0,0,0,0,0,0,0,0,0,0,0,0.46879,-0.015333,0,0.46905,0,0,0,45,0,0,0,0.72,0.04,0
0.26686,0,0,0,0,0,0,0,0,0,0,0,0,0.47674,-0.015456,0,0.47701,0,0,0,45,0,0,0,0.74,0.04,0
0.24763,0,0,0,0,0,0,0,0,0,0,0,0,0.48458,-0.015044,0,0.48483,0,0,0,45,0,0,0,0.76,0.04,0
0.22809,0,0,0,0,0,0,0,0,0,0,0,0,0.49206,-0.014222,0,0.49228,0,0,0,45,0,0,0,0.78,0.04,0
0.20826,0,0,0,0,0,0,0,0,0,0,0,0,0.49901,-0.013111,0,0.49919,0,0,0,45,0,0,0,0.8,0.04,0
0.18817,0,0,0,0,0,0,0,0,0,0,0,0,0.50531,-0.01182,0,0.50545,0,0,0,45,0,0,0,0.82,0.04,0
0.16784,0,0,0,0,0,0,0,0,0,0,0,0,0.51091,-0.010432,0,0.51102,0,0,0,45,0,0,0,0.84,0.04,0
0.1473,0,0,0,0,0,0,0,0,0,0,0,0,0.51578,-0.00901,0,0.51586,0,0,0,45,0,0,0,0.86,0.04,0
0.12657,0,0,0,0,0,0,0,0,0,0,0,0,0.51992,-0.0075978,0,0.51998,0,0,0,45,0,0,0,0.88,0.04,0
0.1057,0,0,0,0,0,0,0,0,0,0,0,0,0.52336,-0.0062216,0,0.5234,0,0,0,45,0,0,0,0.9,0.04,0
0.084706,0,0,0,0,0,0,0,0,0,0,0,0,0.52612,-0.004894,0,0.52614,0,0,0,45,0,0,0,0.92,0.04,0
0.063613,0,0,0,0,0,0,0,0,0,0,0,0,0.52823,-0.0036169,0,0.52824,0,0,0,45,0,0,0,0.94,0.04,0
0.042448,0,0,0,0,0,0,0,0,0,0,0,0,0.52971,-0.002384,0,0.52972,0,0,0,45,0,0,0,0.96,0.04,0
0.021236,0,0,0,0,0,0,0,0,0,0,0,0,0.5306,-0.0011835,0,0.5306,0,0,0,45,0,0,0,0.98,0.04,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.53089,1.0842e-19,0,0.53089,0,0,0,45,0,0,0,1,0.04,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0.54296,-5.827e-16,0,0.54296,0,0,0,45,0,0,0,0,0.06,0
0.97828,0,0,0,0,0,0,0,0,0,0,0,0,0.54291,0.00034263,0,0.54291,0,0,0,45,0,0,0,0.02,0.06,0
0.95657,0,0,0,0,0,0,0,0,0,0,0,0,0.54275,0.0006971,0,0.54275,0,0,0,45,0,0,0,0.04,0.06,0
0.93486,0,0,0,0,0,0,0,0,0,0,0,0,0.54248,0.0010755,0,0.54248,0,0,0,45,0,0,0,0.06,0.06,0
0.91317,0,0,0,0,0,0,0,0,0,0,0,0,0.54209,0.0014903,0,0.54209,0,0,0,45,0,0,0,0.08,0.06,0
0.8915,0,0,0,0,0,0,0,0,0,0,0,0,0.54156,0.0019547,0,0.54157,0,0,0,45,0,0,0,0.1,0.06,0
0.86984,0,0,0,0,0,0,0,0,0,0,0,0,0.54089,0.0024825,0,0.54089,0,0,0,45,0,0,0,0.12,0.06,0
0.84822,0,0,0,0,0,0,0,0,0,0,0,0,0.54003,0.0030885,0,0.54004,0,0,0,45,0,0,0,0.14,0.06,0
0.82664,0,0,0,0,0,0,0,0,0,0,0,0,0.53897,0.0037883,0,0.53899,0,0,0,45,0,0,0,0.16,0.06,0
0.80511,0,0,0,0,0,0,0,0,0,0,0,0,0.53768,0.004598,0,0.5377,0,0,0,45,0,0,0,0.18,0.06,0
0.78363,0,0,0,0,0,0,0,0,0,0,0,0,0.5361,0.0055338,0,0.53613,0,0,0,45,0,0,0,0.2,0.06,0
0.76222,0,0,0,0,0,0,0,0,0,0,0,0,0.5342,0.0066111,0,0.53425,0,0,0,45,0,0,0,0.22,0.06,0
0.74089,0,0,0,0,0,0,0,0,0,0,0,0,0.53193,0.0078432,0,0.53199,0,0,0,45,0,0,0,0.24,0.06,0
0.71966,0,0,0,0,0,0,0,0,0,0,0,0,0.52922,0.0092394,0,0.5293,0,0,0,45,0,0,0,0.26,0.06,0
0.69855,0,0,0,0,0,0,0,0,0,0,0,0,0.526,0.010802,0,0.52612,0,0,0,45,0,0,0,0.28,0.06,0
0.67758,0,0,0,0,0,0,0,0,0,0,0,0,0.52223,0.012522,0,0.52238,0,0,0,45,0,0,0,0.3,0.06,0
0.65677,0,0,0,0,0,0,0,0,0,0,0,0,0.51783,0.014377,0,0.51803,0,0,0,45,0,0,0,0.32,0.06,0
0.63616,0,0,0,0,0,0,0,0,0,0,0,0,0.51274,0.016323,0,0.51301,0,0,0,45,0,0,0,0.34,0.06,0
0.61576,0,0,0,0,0,0,0,0,0,0,0,0,0.50692,0.018291,0,0.50726,0,0,0,45,0,0,0,0.36,0.06,0
0.5956,0,0,0,0,0,0,0,0,0,0,0,0,0.50036,0.020184,0,0.50078,0,0,0,45,0,0,0,0.38,0.06,0
0.57573,0,0,0,0,0,0,0,0,0,0,0,0,0.49308,0.021867,0,0.49358,0,0,0,45,0,0,0,0.4,0.06,0
0.55616,0,0,0,0,0,0,0,0,0,0,0,0,0.48514,0.02317,0,0.48571,0,0,0,45,0,0,0,0.42,0.06,0
0.53692,0,0,0,0,0,0,0,0,0,0,0,0,0.47671,0.023886,0,0.47732,0,0,0,45,0,0,0,0.44,0.06,0
